experiment	time	at_risk	dead	censored	total	survival_probability	survival_prob_at_t
BR5270_A	12	8	3	0	11	0.727272727	0.164957152
BR5270_A	14	6	2	0	8	0.75	0.123717864
BR5270_A	16	3	3	0	6	0.5	0.061858932
BR5270_A	18	3	0	0	3	1	0.061858932
BR5270_A	20	3	0	0	3	1	0.061858932
BR5270_A	22	3	0	0	3	1	0.061858932
BR5270_A	24	2	1	0	3	0.666666667	0.041239288
BR5270_A	26	1	1	0	2	0.5	0.020619644
BR5270_A	28	1	0	0	1	1	0.020619644
BR5270_A	31	0	1	0	1	0	0
BR5270_B	0	72	0	0	72	1	1
BR5270_B	2	55	15	2	72	0.791666667	0.791666667
BR5270_B	3	50	4	1	55	0.927272727	0.734090909
BR5270_B	4	45	4	1	50	0.92	0.675363636
BR5270_B	5	43	2	0	45	0.955555556	0.645347475
BR5270_B	6	41	1	1	43	0.976744186	0.630339394
BR5270_B	8	35	6	0	41	0.853658537	0.538094605
BR5270_B	10	28	6	1	35	0.828571429	0.445849815
BR5270_B	12	26	2	0	28	0.928571429	0.4140034
BR5270_B	14	21	5	0	26	0.807692308	0.334387361
BR5270_B	16	15	6	0	21	0.714285714	0.238848115
BR5270_B	18	14	1	0	15	0.933333333	0.222924908
BR5270_B	20	14	0	0	14	1	0.222924908
BR5270_B	22	8	6	0	14	0.571428571	0.127385662
BR5270_B	24	7	0	1	8	1	0.127385662
BR5270_B	26	5	2	0	7	0.714285714	0.090989758
BR5270_B	28	3	2	0	5	0.6	0.054593855
BR5270_B	31	1	2	0	3	0.333333333	0.018197952
BR5270_B	33	1	0	0	1	1	0.018197952
BR5270_B	35	0	1	0	1	0	0
