trt	time.point	rep	eth	but	ori	tot	ci	strain	run	keep	group
DDT	0hr	B	0	48	0	48	1	BR5271	1	2	BR5271_DDT_B_1
DDT	0hr	C	0	51	0	52	0.98077	BR5271	1	2	BR5271_DDT_C_1
DMSO	0hr	A	0	130	1	140	0.93525	BR5271	1	2	BR5271_DMSO_A_1
DMSO	0hr	B	0	154	0	156	0.98718	BR5271	1	2	BR5271_DMSO_B_1
DMSO	0hr	C	1	165	6	177	0.95906	BR5271	1	2	BR5271_DMSO_C_1
DDT	0hr	1	0	23	5	35	0.7666666666666667	BR5270	2	2	BR5270_DDT_1_2
DMSO	0hr	1	1	71	5	97	0.7608695652173914	BR5270	2	2	BR5270_DMSO_1_2
DMSO	0hr	2	0	41	3	49	0.8913043478260869	BR5270	2	2	BR5270_DMSO_2_2
DMSO	0hr	3	0	20	1	25	0.8333333333333334	BR5270	2	2	BR5270_DMSO_3_2
DDT	0hr	1	0	66	0	86	0.7674418604651163	BR5270	3	2	BR5270_DDT_1_3
DDT	0hr	2	0	34	9	55	0.7391304347826086	BR5270	3	2	BR5270_DDT_2_3
DDT	0hr	3	0	46	20	76	0.8214285714285714	BR5270	3	2	BR5270_DDT_3_3
DMSO	0hr	1	0	25	2	28	0.9615384615384616	BR5270	3	2	BR5270_DMSO_1_3
DMSO	0hr	2	0	35	3	42	0.8974358974358975	BR5270	3	2	BR5270_DMSO_2_3
DMSO	0hr	3	0	23	0	28	0.8214285714285714	BR5270	3	2	BR5270_DMSO_3_3
DMSO	0hr	1	2	45	0	47	0.9148936170212766	N2	2	2	N2_DMSO_1_2
DDT	0hr	A	0	58	0	65	0.89231	N2	3	2	N2_DDT_A_3
DDT	0hr	B	0	70	1	77	0.92105	N2	3	2	N2_DDT_B_3
DDT	0hr	C	0	35	0	40	0.875	N2	3	2	N2_DDT_C_3
DDT	0hr	A	0	21	0	23	0.91304	N2	4	2	N2_DDT_A_4
DDT	0hr	B	0	22	4	32	0.78571	N2	4	2	N2_DDT_B_4
DMSO	0hr	A	0	81	1	102	0.80198	N2	4	2	N2_DMSO_A_4
DMSO	0hr	C	0	24	1	28	0.88889	N2	4	2	N2_DMSO_C_4
DDT	0hr	A	0	21	0	23	0.91304	N2	5	2	N2_DDT_A_5
DDT	0hr	B	0	22	4	32	0.78571	N2	5	2	N2_DDT_B_5
DMSO	0hr	A	0	81	1	102	0.80198	N2	5	2	N2_DMSO_A_5
DMSO	0hr	C	0	24	1	28	0.88889	N2	5	2	N2_DMSO_C_5
DDT	0hr	1	3	29	1	33	0.8387096774193549	N2	1	2	N2_DDT_1_1
DMSO	0hr	1	6	220	7	233	0.9771689497716894	N2	1	2	N2_DMSO_1_1
DMSO	0hr	2	6	120	0	126	0.9047619047619048	N2	1	2	N2_DMSO_2_1
